Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,403.4111835,505.2301926,566.6681005,605.7520037,597.356158,575.9168154,548.9684545,484.8905897,497.4060287,466.5706016,468.4035058,475.7180842,340.5232436,..,..
Albania,ALB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3517.609153,3509.842739,3753.965485,3522.372857,3757.696946,3844.277141,3277.788243,3467.34757,3729.968219,4340.919854,4361.999293,4322.549675,5262.913596,..,..
Algeria,DZA,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2960.306317,3451.290356,4080.708483,4280.70873,4210.070061,4167.01901,3319.132168,3256.460325,3295.651168,3172.694403,3098.163841,2689.872526,2809.555594,..,..
American Samoa,ASM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,1870.287448,1874.74828,2463.654719,2865.333338,3185.33364,3486.7531,2371.995619,1206.043537,1500.335741,1506.725371,1327.803449,1100.217496,1231.925133,..,..
Antigua and Barbuda,ATG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,6808.995877,8565.366297,10604.58155,10774.09297,10811.86987,10181.06897,11668.43637,10789.07524,12508.82601,9844.101641,8237.698119,7241.030302,9092.085608,..,..
Armenia,ARM,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,2583.616131,2758.458143,2999.033604,3172.034408,3409.886713,3524.890871,3150.669544,3108.22045,3475.204348,3687.291522,4019.858444,3617.03199,3790.564809,..,..
Aruba,ABW,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,21733.07462,20212.24394,20565.93526,21395.33463,21530.67793,22415.99325,23278.82273,23167.71231,23716.23787,24187.06646,26027.01712,20584.79126,24724.86657,..,..
Australia,AUS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,33482.7319,40434.7357,48363.13547,53605.73872,53871.55493,48732.92493,44512.59603,39077.68932,42069.08515,44204.1255,42130.89464,40036.44582,45710.89045,..,..
Austria,AUT,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,39649.39482,39022.25616,42625.23735,39980.63084,41694.07141,42465.76661,35811.68578,37196.16775,38441.73272,41651.80739,40712.57534,39515.55741,43281.73348,..,..
Azerbaijan,AZE,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,3275.461603,4040.20531,4784.739454,5294.537688,5674.20814,6051.697062,4460.30161,3029.305999,3226.152448,3414.822967,3656.141682,3530.660537,3965.424396,..,..
"Bahamas, The",BHS,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,25106.33959,24819.00283,24499.03321,25926.43053,25023.33028,25846.8021,26904.54876,26745.59558,28368.90613,28200.15491,29667.73595,21910.30132,24896.44161,..,..
Bahrain,BHR,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13040.12038,13750.01607,13337.42972,17582.54047,17578.94495,17356.5283,17082.53081,17718.31642,18086.80661,18232.26055,18906.70878,17252.75045,..,..,..
Bangladesh,BGD,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,672.1106025,749.6170877,826.613898,853.6908001,949.5204786,1068.928497,1194.180107,1580.77342,1712.10431,1869.935743,2186.771894,2305.858345,2567.444321,..,..
Barbados,BRB,Adjusted net national income per capita (current US$),NY.ADJ.NNTY.PC.CD,13917.3744,14253.34072,13877.00418,14143.53995,14314.01514,14329.17093,14307.73421,14571.04953,15021.33355,15277.06165,15878.52517,14376.07645,14760.30253,..,..
